지점,지점명,일시,평균기온,최저기온,최고기온,평균최저기온,평균최고기온,평균 해면기압,합계 강수량,일 최다 강수량,평균 상대습도,합계 일조시간,일조율,합계 일사량,평균 풍속,최다 풍향,합계 소형 증발량,합계 대형 증발량
99,파주,2002,10.8,-21.8,35,5.4,16.9,1016,1225,136.5,72.9,2098.9,47.12,,1.8,50,,
99,파주,2003,10.9,-21.6,32.4,5.6,16.9,1016.8,1718.1,150.5,73.7,1988.5,44.64,,1.6,50,,
99,파주,2004,11,-19.8,34.6,5.6,17.4,1016.6,1397.8,140.5,70.8,2165.5,48.51,,1.8,50,,
99,파주,2005,10.3,-20.1,34.4,4.8,16.5,1016.3,1171.7,112.5,70,2207.5,49.56,,1.8,50,,
99,파주,2006,11.3,-17.6,34.9,6.1,17.4,1016.4,1284.6,160,71.8,1992.2,44.73,,1.8,50,,
99,파주,2007,11.3,-15.6,33,6.1,17.4,1016,1223.3,69.5,72.5,1904.4,42.75,,1.8,50,,
99,파주,2008,11,-17.4,34.9,5.6,17.5,1016.5,1302.5,212,71.6,2193,49.13,,1.6,50,,
99,파주,2009,11,-17.9,33.3,5.7,17.2,1015.9,1507.3,183.5,71.5,2176.2,48.85,,1.6,50,,
99,파주,2010,10.6,-25.9,34.1,5.6,16.6,1016.4,1827.2,120,73.7,1914.8,42.98,,1.6,50,,
99,파주,2011,10.4,-23,34.1,5.1,16.7,1016.9,2063.3,322.5,72.3,2114.3,47.47,,1.5,50,,
99,파주,2012,10.9,-24.6,36.5,5.4,17.2,1016.1,1436.1,226,71.3,2484.2,55.65,,1.6,50,,
99,파주,2013,11,-24.5,34.9,5.8,17.2,1016.1,1347.4,110.5,73.4,2424.9,54.44,,1.6,200,,
99,파주,2014,11.4,-17,35.8,5.9,17.8,1016.7,642.7,63.8,67.6,2524.9,56.68,,1.6,50,,
99,파주,2015,11.6,-16.4,35,5.9,18.2,1016.6,716.2,72.2,66,2623,58.89,,1.6,50,,
99,파주,2016,11.7,-20,35,6.2,18.2,1016.7,1163.9,164.6,68.2,2555.7,57.25,,1.6,20,,
99,파주,2017,10.5,-18.8,34.9,4.7,17.2,1016.8,947.8,87.7,70.9,2568.4,57.81,,1.4,50,,
99,파주,2018,10.5,-23.5,37.6,4.9,17.1,1017.3,1009.5,73,73,2592.8,58.38,,1.5,50,,
99,파주,2019,11.3,-16.1,34.7,5.5,17.7,1017,1022.4,171.9,73.6,2532.7,56.86,,1.3,90,,
99,파주,2020,11.2,-17.4,34.4,5.8,17.3,1017.2,1612.3,143,76.2,2417.7,54.16,,1.4,50,,
99,파주,2021,11.5,-21.7,35.1,6.1,17.9,1017.1,1037.9,100,76.3,2484.7,55.78,780.98,1.4,50,58.4,40.8
99,파주,2022,10.7,-18.8,34.2,5,17.1,1017.5,1730.5,199.1,75.8,2523.9,56.66,5319.47,1.3,50,1166.1,816.6
99,파주,2023,11.7,-20.9,33.4,6.4,17.8,1017.3,1438,76,78,2233.1,50.13,5176.18,1.3,50,1167.6,817.8
100,대관령,1971,,-19.6,29.6,,,,282.5,200.8,,,,,,270,,
100,대관령,1972,6.3,-22,30.5,1.1,11.6,1021.1,1637.4,188.8,80.3,2790.7,62.76,4294.3,3,290,1104.5,
100,대관령,1973,6.6,-24.7,32.7,1.6,11.7,1021.2,1145.3,121.3,82,2873.4,64.78,4364.06,2.9,290,1088.2,
100,대관령,1974,5.6,-28.9,29.1,.4,11,1021.1,1265.1,134.4,79.9,2757.8,62.18,2968.32,2.7,290,960.6,
100,대관령,1975,6.6,-22.6,29.8,1.8,11.6,1021.2,1796.7,131.5,80.8,2590.2,58.4,2271.51,2.4,270,1011.2,
100,대관령,1976,5.9,-23.5,27.9,.8,11.2,1021.1,1535.1,128.4,75.5,2748.2,61.81,2380.94,2.7,270,1007.7,
100,대관령,1977,6.7,-25.1,32,1.2,12.4,1021.7,1175.3,89.5,76.8,2727.2,61.49,3894.09,2.6,270,1067,
100,대관령,1978,7.1,-27.6,31,1.9,12.4,1021,1605.2,118.2,76.2,2445.7,55.14,3948.06,3.1,290,1150.2,
100,대관령,1979,7,-21.3,29.2,2,12.2,1020.9,1192.7,72.7,76.8,2211,49.85,3379.57,3.6,290,1065.6,
100,대관령,1980,5.6,-25.6,29.4,.7,10.7,1021,1626.2,106,76.3,2176.2,48.94,3428.53,3.7,290,1018.4,
100,대관령,1981,5.9,-26.5,30.1,.6,11.5,1020.8,1529.6,169.8,74.3,2373.2,53.51,4359.18,3.5,290,1124.4,
100,대관령,1982,6.6,-23.9,29.2,1.4,12.2,1021.3,1252.6,303,75.7,2399.5,54.1,4964.23,3.3,270,1063.2,
100,대관령,1983,6.5,-24.6,31.1,1.3,11.5,1021.3,1270.3,97.8,71.9,2348.9,52.76,5207.58,3.5,270,1035.2,401
100,대관령,1984,5.9,-25.8,31,.9,10.9,1021.7,1699.3,242.4,72.8,2337.5,52.4,5250.85,3.1,290,974.7,360.4
100,대관령,1985,6.5,-22.2,28.9,1.8,11.3,1021.5,1744.7,197,74.7,2194.1,49.29,4253.7,3.5,320,964.1,437.5
100,대관령,1986,5.7,-24.4,29.3,.8,10.6,1019.4,1476.1,142.9,73,2217.9,49.83,4007.06,4.1,320,969.1,411.4
100,대관령,1987,6.5,-20.7,28.3,1.9,11.2,1016.5,1626.7,158,71.7,2400.8,53.93,4965.64,5.3,270,1204.1,495.8
100,대관령,1988,5.8,-20.5,28.6,1.6,10.3,1016.2,1968.1,157.2,71.8,2219,49.74,4617.12,4.9,270,1161.4,413
100,대관령,1989,6.7,-20.6,28,2.6,11,1017,2193.9,195.1,73.9,1930.4,43.37,4123.39,4.4,250,1024,452.1
100,대관령,1990,6.9,-22.2,29.2,2.8,11.4,1017,2316.2,330.8,78.8,2016,45.29,4494.93,4.8,290,1031,467.2
100,대관령,1991,6.1,-22.2,26.5,1.8,11,1016.6,2461.5,234.2,74.4,2246.5,50.46,4506.17,4.7,270,1137.3,470.1
100,대관령,1992,6.1,-19.5,28.4,1.9,10.8,1016.6,2187.9,137.8,73.8,2107.1,47.23,3965.71,4.7,270,1006.2,407.2
